timestamp,detected_emotion,song_recommendation,song_link
2024-11-10 14:23:34,happy,Happy - Pharrell Williams,https://www.youtube.com/watch?v=ZbZSe6N_BXs
2024-11-10 15:47:20,sad,Someone Like You - Adele,https://www.youtube.com/watch?v=hLQl3WQQoQ0
2024-11-13 00:00:02.597271,happy,Happy - Pharrell Williams
2024-11-13 00:00:10.676700,happy,Happy - Pharrell Williams
2024-11-13 00:11:24.711466,sad,Tujhe Kitna Chahne Lage - Kabir Singh
